pptname;invariant;invariantType;variables;postmanAssertion;tp;fp;enter;bug
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.user_id == return.owner.id;daikon.inv.binary.twoString.StringEqual;(input.user_id, return.owner.id);pm.expect(input_user_id).to.eql(return_owner_id);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.name == return.name;daikon.inv.binary.twoString.StringEqual;(input.name, return.name);pm.expect(input_name).to.eql(return_name);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.description == return.description;daikon.inv.binary.twoString.StringEqual;(input.description, return.description);pm.expect(input_description).to.eql(return_description);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.public == return.public;daikon.inv.binary.twoScalar.IntEqual;(input.public, return.public);pm.expect(input_public).to.eql(return_public);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.collaborative == return.collaborative;daikon.inv.binary.twoScalar.IntEqual;(input.collaborative, return.collaborative);pm.expect(input_collaborative).to.eql(return_collaborative);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.followers.total == return.tracks.offset;daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, return.tracks.offset);pm.expect(return_followers_total).to.eql(return_tracks_offset);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.followers.total == return.tracks.total;daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, return.tracks.total);pm.expect(return_followers_total).to.eql(return_tracks_total);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.followers.total == size(return.images[]);daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, size(return.images[..]));pm.expect(return_followers_total).to.eql(return_images_size_array);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.followers.total == size(return.tracks.items[]);daikon.inv.binary.twoScalar.IntEqual;(return.followers.total, size(return.tracks.items[..]));pm.expect(return_followers_total).to.eql(return_tracks_items_size_array);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.external_urls.spotify)==56;daikon.inv.unary.string.FixedLengthString;(return.external_urls.spotify);pm.expect(return_external_urls_spotify).to.have.length(56);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.external_urls.spotify is Url;daikon.inv.unary.string.IsUrl;(return.external_urls.spotify);pm.expect(return_external_urls_spotify).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.href)==59;daikon.inv.unary.string.FixedLengthString;(return.href);pm.expect(return_href).to.have.length(59);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.href is Url;daikon.inv.unary.string.IsUrl;(return.href);pm.expect(return_href).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.id)==22;daikon.inv.unary.string.FixedLengthString;(return.id);pm.expect(return_id).to.have.length(22);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.images[] == [];daikon.inv.unary.sequence.OneOfSequence;(return.images[..]);pm.expect([[]].some(value => pm.expect(return_images_array).to.deep.equal(value).that)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.external_urls.spotify is Url;daikon.inv.unary.string.IsUrl;(return.owner.external_urls.spotify);pm.expect(return_owner_external_urls_spotify).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.followers == null;daikon.inv.unary.scalar.OneOfScalar;(return.owner.followers);pm.expect(return_owner_followers).to.be.null;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.href is Url;daikon.inv.unary.string.IsUrl;(return.owner.href);pm.expect(return_owner_href).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;"return.owner.type == ""user""";daikon.inv.unary.string.OneOfString;(return.owner.type);"pm.expect([""user""].includes(return_owner_type)).to.be.true";1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.owner.type)==4;daikon.inv.unary.string.FixedLengthString;(return.owner.type);pm.expect(return_owner_type).to.have.length(4);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.snapshot_id)==56;daikon.inv.unary.string.FixedLengthString;(return.snapshot_id);pm.expect(return_snapshot_id).to.have.length(56);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.tracks.href)==66;daikon.inv.unary.string.FixedLengthString;(return.tracks.href);pm.expect(return_tracks_href).to.have.length(66);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.tracks.href is Url;daikon.inv.unary.string.IsUrl;(return.tracks.href);pm.expect(return_tracks_href).to.match(/^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!10(?:\.\d{1,3}){3})(?!127(?:\.\d{1,3}){3})(?!169\.254(?:\.\d{1,3}){2})(?!192\.168(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[\w\u00a1-\uffff0-9]+-?)*[\w\u00a1-\uffff0-9]+)(?:\.(?:[\w\u00a1-\uffff0-9]+-)*[\w\u00a1-\uffff0-9]+)*(?:\.(?:[a-zA-Z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:\/[^\s]*)?$/);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.tracks.items[] == [];daikon.inv.unary.sequence.OneOfSequence;(return.tracks.items[..]);pm.expect([[]].some(value => pm.expect(return_tracks_items_array).to.deep.equal(value).that)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.tracks.limit == 100;daikon.inv.unary.scalar.OneOfScalar;(return.tracks.limit);pm.expect([100].includes(return_tracks_limit)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;"return.type == ""playlist""";daikon.inv.unary.string.OneOfString;(return.type);"pm.expect([""playlist""].includes(return_type)).to.be.true";1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.type)==8;daikon.inv.unary.string.FixedLengthString;(return.type);pm.expect(return_type).to.have.length(8);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;LENGTH(return.uri)==39;daikon.inv.unary.string.FixedLengthString;(return.uri);pm.expect(return_uri).to.have.length(39);1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.user_id is a substring of return.owner.external_urls.spotify;daikon.inv.binary.twoString.StdString$SubString;(input.user_id, return.owner.external_urls.spotify);pm.expect(return_owner_external_urls_spotify.includes(input_user_id)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.user_id is a substring of return.owner.href;daikon.inv.binary.twoString.StdString$SubString;(input.user_id, return.owner.href);pm.expect(return_owner_href.includes(input_user_id)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;input.user_id is a substring of return.owner.uri;daikon.inv.binary.twoString.StdString$SubString;(input.user_id, return.owner.uri);pm.expect(return_owner_uri.includes(input_user_id)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.id is a substring of return.external_urls.spotify;daikon.inv.binary.twoString.StdString$SubString;(return.external_urls.spotify, return.id);pm.expect(return_external_urls_spotify.includes(return_id)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.type is a substring of return.external_urls.spotify;daikon.inv.binary.twoString.StdString$SubString;(return.external_urls.spotify, return.type);pm.expect(return_external_urls_spotify.includes(return_type)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.id is a substring of return.href;daikon.inv.binary.twoString.StdString$SubString;(return.href, return.id);pm.expect(return_href.includes(return_id)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.href is a substring of return.tracks.href;daikon.inv.binary.twoString.StdString$SubString;(return.href, return.tracks.href);pm.expect(return_tracks_href.includes(return_href)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.type is a substring of return.href;daikon.inv.binary.twoString.StdString$SubString;(return.href, return.type);pm.expect(return_href.includes(return_type)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.id is a substring of return.uri;daikon.inv.binary.twoString.StdString$SubString;(return.id, return.uri);pm.expect(return_uri.includes(return_id)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.type is a substring of return.owner.external_urls.spotify;daikon.inv.binary.twoString.StdString$SubString;(return.owner.external_urls.spotify, return.owner.type);pm.expect(return_owner_external_urls_spotify.includes(return_owner_type)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.type is a substring of return.owner.href;daikon.inv.binary.twoString.StdString$SubString;(return.owner.href, return.owner.type);pm.expect(return_owner_href.includes(return_owner_type)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.owner.type is a substring of return.owner.uri;daikon.inv.binary.twoString.StdString$SubString;(return.owner.type, return.owner.uri);pm.expect(return_owner_uri.includes(return_owner_type)).to.be.true;1;0;0;0
/users/{user_id}/playlists&createPlaylist&201():::EXIT;return.type is a substring of return.uri;daikon.inv.binary.twoString.StdString$SubString;(return.type, return.uri);pm.expect(return_uri.includes(return_type)).to.be.true;1;0;0;0
