endpoint,group,description_x,tp_x,description_y,tp_y,status,_check_verification_script,check_verify,_merge
get+v1_apple_pay_domains,data.created,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}_x000D_",1.0,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}_x000D_",0.0,satisfied,yes,yes,both
get+v1_apple_pay_domains,data.domain_name,"{""maxLength"": 5000, ""type"": ""string""}",1.0,"{""maxLength"": 5000, ""type"": ""string""}
{""maxLength"": 5000, ""type"": ""string""}",0.0,"satisfied
satisfied","yes,yes",yes,both
get+v1_apple_pay_domains,data.id,"Attribute ending_before is responded to by parameter apple_pay_domain with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Attribute starting_after is responded to by parameter apple_pay_domain with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",0.6666666666666666,"satisfied
satisfied
satisfied","yes,yes,yes",yes,both
get+v1_apple_pay_domains,data.livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,1.0,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,mismatched,yes,yes,both
get+v1_radar_value_list_items,data.created_by,"The name or email address of the user who added this item to the value list, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"The name or email address of the user who added this item to the value list, schema: {""maxLength"": 5000, ""type"": ""string""}",0.0,satisfied,yes,yes,both
get+v1_radar_value_list_items,data.id,"Attribute starting_after is responded to by parameter radar.value_list_item with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Attribute ending_before is responded to by parameter radar.value_list_item with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Attribute id is responded to by parameter ending_before with a description: A cursor for use in pagination. `ending_before` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, starting with `obj_bar`, your subsequent call can include `ending_before=obj_bar` in order to fetch the previous page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",0.6666666666666666,"unknown
unknown
satisfied","yes,yes,yes",yes,both
get+v1_radar_value_list_items,data.livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,satisfied,yes,yes,both
get+v1_radar_value_list_items,data.object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""radar.value_list_item""]}",1.0,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""radar.value_list_item""]}",0.0,unknown,yes,yes,both
get+v1_radar_value_list_items,data.value,"Attribute value is responded to by parameter radar.value_list_item with a description: Return items belonging to the parent list whose value matches the specified value (using an ""is like"" match)
The value of the item, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Attribute value is responded to by parameter value with a description: Return items belonging to the parent list whose value matches the specified value (using an ""is like"" match)
The value of the item, schema: {""maxLength"": 5000, ""type"": ""string""}",0.5,"unknown
satisfied","yes,yes",yes,both
get+v1_radar_value_list_items,data.value_list,"Attribute value_list is responded to by parameter radar.value_list_item with a description: Identifier for the parent value list this item belongs to
The identifier of the value list this item belongs to, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Attribute value_list is responded to by parameter value_list with a description: Identifier for the parent value list this item belongs to
The identifier of the value list this item belongs to, schema: {""maxLength"": 5000, ""type"": ""string""}",0.5,"unknown
satisfied","yes,yes",yes,both
get+v1_reporting_report_types,data.data_available_end,"Most recent time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0,"Most recent time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",0.0,satisfied,yes,yes,both
get+v1_reporting_report_types,data.data_available_start,"Earliest time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0,"Earliest time for which this Report Type is available. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",0.0,satisfied,yes,yes,both
get+v1_reporting_report_types,data.livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,satisfied,no,no,both
get+v1_reporting_report_types,data.name,"Human-readable name of the Report Type, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Human-readable name of the Report Type, schema: {""maxLength"": 5000, ""type"": ""string""}",0.0,satisfied,yes,yes,both
get+v1_reporting_report_types,data.object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""reporting.report_type""]}",1.0,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""reporting.report_type""]}",0.0,unknown,yes,yes,both
get+v1_reporting_report_types,data.updated,"When this Report Type was latest updated. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0,"When this Report Type was latest updated. Measured in seconds since the Unix epoch, schema: {""type"": ""integer"", ""format"": ""unix-time""}",0.0,unknown,yes,yes,both
get+v1_tax_rates,data.active,"Attribute active is responded to by parameter tax_rate with a description: Optional flag to filter by tax rates that are either active or inactive (archived)
Defaults to `true`. When set to `false`, this tax rate cannot be used with new applications or Checkout Sessions, but will still work for subscriptions and invoices that already have it set",1.0,"Attribute active is responded to by parameter active with a description: Optional flag to filter by tax rates that are either active or inactive (archived)
Defaults to `true`. When set to `false`, this tax rate cannot be used with new applications or Checkout Sessions, but will still work for subscriptions and invoices that already have it set",0.5,"satisfied
satisfied","yes,yes",yes,both
get+v1_tax_rates,data.country,"Two-letter country code ([ISO 3166-1 alpha-2](https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2)). schema: {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}_x000D_",1.0,"Two-letter country code ([ISO 3166-1 alpha-2](https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2)). schema: {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}_x000D_",0.0,unknown,yes,yes,both
get+v1_tax_rates,data.created,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}",1.0,"Time at which the object was created. Measured in seconds since the Unix epoch. schema: {""format"": ""unix-time"", ""type"": ""integer""}",0.0,satisfied,yes,yes,both
get+v1_tax_rates,data.description,"An arbitrary string attached to the tax rate for your internal use only. It will not be visible to your customers, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"An arbitrary string attached to the tax rate for your internal use only. It will not be visible to your customers, schema: {""maxLength"": 5000, ""type"": ""string""}",0.0,satisfied,yes,yes,both
get+v1_tax_rates,data.display_name,"The display name of the tax rates as it will appear to your customer on their receipt email, PDF, and the hosted invoice page, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"The display name of the tax rates as it will appear to your customer on their receipt email, PDF, and the hosted invoice page, schema: {""maxLength"": 5000, ""type"": ""string""}",0.0,unknown,yes,yes,both
get+v1_tax_rates,data.id,"Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",0.0,satisfied,yes,yes,both
get+v1_tax_rates,data.inclusive,"Attribute inclusive is responded to by parameter tax_rate with a description: Optional flag to filter by tax rates that are inclusive (or those that are not inclusive)
This specifies if the tax rate is inclusive or exclusive",1.0,"Attribute inclusive is responded to by parameter inclusive with a description: Optional flag to filter by tax rates that are inclusive (or those that are not inclusive)
This specifies if the tax rate is inclusive or exclusive",0.5,"satisfied
satisfied","yes,yes",yes,both
get+v1_tax_rates,data.jurisdiction,"The jurisdiction for the tax rate. You can use this label field for tax reporting purposes. It also appears on your customer’s invoice, schema: {""maxLength"": 5000, ""type"": ""string""}
The jurisdiction for the tax rate. You can use this label field for tax reporting purposes. It also appears on your customer’s invoice. schema: {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}_x000D_",1.0,"The jurisdiction for the tax rate. You can use this label field for tax reporting purposes. It also appears on your customer’s invoice, schema: {""maxLength"": 5000, ""type"": ""string""}
The jurisdiction for the tax rate. You can use this label field for tax reporting purposes. It also appears on your customer’s invoice. schema: {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}_x000D_
The jurisdiction for the tax rate. You can use this label field for tax reporting purposes. It also appears on your customer’s invoice, schema: {""maxLength"": 5000, ""type"": ""string""}",0.0,"satisfied
satisfied
satisfied","yes,yes,yes",yes,both
get+v1_tax_rates,data.jurisdiction_level,"The level of the jurisdiction that imposes this tax rate. Will be `null` for manually defined tax rates. schema: {""enum"": [""city"", ""country"", ""county"", ""district"", ""multiple"", ""state""], ""nullable"": true, ""type"": ""string""}",1.0,"The level of the jurisdiction that imposes this tax rate. Will be `null` for manually defined tax rates. schema: {""enum"": [""city"", ""country"", ""county"", ""district"", ""multiple"", ""state""], ""nullable"": true, ""type"": ""string""}",0.0,satisfied,yes,yes,both
get+v1_tax_rates,data.livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,1.0,,,,,,left_only
get+v1_tax_rates,data.object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""tax_rate""]}",1.0,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""tax_rate""]}",0.0,satisfied,yes,yes,both
get+v1_tax_rates,data.percentage,"Tax rate percentage out of 100. For tax calculations with automatic_tax[enabled]=true, this percentage includes the statutory tax rate of non-taxable jurisdictions, schema: {""type"": ""number"", ""format"": ""uri""}",1.0,"Tax rate percentage out of 100. For tax calculations with automatic_tax[enabled]=true, this percentage includes the statutory tax rate of non-taxable jurisdictions, schema: {""type"": ""number"", ""format"": ""uri""}",0.0,unknown,yes,yes,both
get+v1_tax_rates,data.state,[ISO 3166-2 subdivision code](https://en.wikipedia.org/wiki/ISO_3166-2:US,1.0,[ISO 3166-2 subdivision code](https://en.wikipedia.org/wiki/ISO_3166-2:US,0.0,unknown,yes,yes,both
get+v1_tax_rates,data.tax_type,"The high-level tax type, such as `vat` or `sales_tax`, schema: {""type"": ""string"", ""enum"": [""amusement_tax"", ""communications_tax"", ""gst"", ""hst"", ""igst"", ""jct"", ""lease_tax"", ""pst"", ""qst"", ""rst"", ""sales_tax"", ""vat""]}",1.0,"The high-level tax type, such as `vat` or `sales_tax`, schema: {""type"": ""string"", ""enum"": [""amusement_tax"", ""communications_tax"", ""gst"", ""hst"", ""igst"", ""jct"", ""lease_tax"", ""pst"", ""qst"", ""rst"", ""sales_tax"", ""vat""]}",0.0,satisfied,yes,yes,both
get+v1_tax_rates,has_more,,,,,,,,left_only
get+v1_test_helpers_test_clocks,data.deletes_after,"Time at which this clock is scheduled to auto delete, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0,"Time at which this clock is scheduled to auto delete, schema: {""type"": ""integer"", ""format"": ""unix-time""}",0.0,unknown,yes,yes,both
get+v1_test_helpers_test_clocks,data.frozen_time,"Time at which all objects belonging to this clock are frozen, schema: {""type"": ""integer"", ""format"": ""unix-time""}",1.0,"Time at which all objects belonging to this clock are frozen, schema: {""type"": ""integer"", ""format"": ""unix-time""}",0.0,satisfied,yes,yes,both
get+v1_test_helpers_test_clocks,data.id,"Attribute starting_after is responded to by parameter test_helpers.test_clock with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"Attribute id is responded to by parameter starting_after with a description: A cursor for use in pagination. `starting_after` is an object ID that defines your place in the list. For instance, if you make a list request and receive 100 objects, ending with `obj_foo`, your subsequent call can include `starting_after=obj_foo` in order to fetch the next page of the list
Unique identifier for the object, schema: {""maxLength"": 5000, ""type"": ""string""}",0.5,"satisfied
satisfied","yes,yes",yes,both
get+v1_test_helpers_test_clocks,data.livemode,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,Has the value `true` if the object exists in live mode or the value `false` if the object exists in test mode,0.0,satisfied,yes,yes,both
get+v1_test_helpers_test_clocks,data.name,"The custom name supplied at creation, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"The custom name supplied at creation, schema: {""maxLength"": 5000, ""type"": ""string""}",0.0,unknown,yes,yes,both
get+v1_test_helpers_test_clocks,data.object,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""test_helpers.test_clock""]}",1.0,"String representing the object's type. Objects of the same type share the same value, schema: {""type"": ""string"", ""enum"": [""test_helpers.test_clock""]}",0.0,satisfied,yes,yes,both
get+v1_webhook_endpoints,data.api_version,"The API version events are rendered as for this webhook endpoint, schema: {""maxLength"": 5000, ""type"": ""string""}",1.0,"The API version events are rendered as for this webhook endpoint, schema: {""maxLength"": 5000, ""type"": ""string""}",0.0,satisfied,yes,yes,both
get+v1_webhook_endpoints,data.application,"The ID of the associated Connect application. schema: {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}_x000D_",1.0,"The ID of the associated Connect application. schema: {""maxLength"": 5000, ""nullable"": true, ""type"": ""string""}",0.0,satisfied,yes,yes,both
