pptname,invariant,invariantType,variables,postmanAssertion,endpoint,tp,fp,enter,bug,invariantDescription,group,api
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(29),get+v1_apple_pay_domains,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.id,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,return.livemode == false,daikon.inv.unary.scalar.OneOfScalar,(return.livemode),pm.expect(return_livemode).to.eql(false),get+v1_apple_pay_domains,,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.livemode,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,"return.object == ""apple_pay_domain""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""apple_pay_domain""].includes(return_object)).to.be.true",get+v1_apple_pay_domains,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.object,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200&data():::EXIT,LENGTH(return.object)==16,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(16),get+v1_apple_pay_domains,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.object,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,"return.object == ""list""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""list""].includes(return_object)).to.be.true",get+v1_apple_pay_domains,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",object,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,LENGTH(return.object)==4,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(4),get+v1_apple_pay_domains,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,object,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,"return.url == ""/v1/apple_pay/domains""",daikon.inv.unary.string.OneOfString,(return.url),"pm.expect([""/v1/apple_pay/domains""].includes(return_url)).to.be.true",get+v1_apple_pay_domains,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",url,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,LENGTH(return.url)==21,daikon.inv.unary.string.FixedLengthString,(return.url),pm.expect(return_url).to.have.length(21),get+v1_apple_pay_domains,,1.0,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,url,StripeClone API
/v1/apple_pay/domains&GetApplePayDomains&200():::EXIT,input.limit >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.data[..]))",pm.expect(input_limit).to.be.at.least(return_data_size_array),get+v1_apple_pay_domains,1.0,,,,Represents an invariant of >= between two long scalars. Prints as x >= y.,data,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,input.value_list == return.value_list,daikon.inv.binary.twoString.StringEqual,"(input.value_list, return.value_list)",pm.expect(input_value_list).to.eql(return_value_list),get+v1_radar_value_list_items,1.0,,,,Represents an invariant of == between two String scalars. Prints as x == y.,data.value_list,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,"return.created_by == ""API""",daikon.inv.unary.string.OneOfString,(return.created_by),"pm.expect([""API""].includes(return_created_by)).to.be.true",get+v1_radar_value_list_items,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.created_by,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,LENGTH(return.created_by)==3,daikon.inv.unary.string.FixedLengthString,(return.created_by),pm.expect(return_created_by).to.have.length(3),get+v1_radar_value_list_items,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.created_by,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,LENGTH(return.id)==29,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(29),get+v1_radar_value_list_items,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.id,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,return.livemode == false,daikon.inv.unary.scalar.OneOfScalar,(return.livemode),pm.expect(return_livemode).to.eql(false),get+v1_radar_value_list_items,,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.livemode,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,"return.object == ""radar.value_list_item""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""radar.value_list_item""].includes(return_object)).to.be.true",get+v1_radar_value_list_items,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.object,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200&data():::EXIT,LENGTH(return.object)==21,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(21),get+v1_radar_value_list_items,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.object,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT,"return.object == ""list""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""list""].includes(return_object)).to.be.true",get+v1_radar_value_list_items,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",object,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT,LENGTH(return.object)==4,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(4),get+v1_radar_value_list_items,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,object,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT,"return.url == ""/v1/radar/value_list_items""",daikon.inv.unary.string.OneOfString,(return.url),"pm.expect([""/v1/radar/value_list_items""].includes(return_url)).to.be.true",get+v1_radar_value_list_items,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",url,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT,LENGTH(return.url)==26,daikon.inv.unary.string.FixedLengthString,(return.url),pm.expect(return_url).to.have.length(26),get+v1_radar_value_list_items,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,url,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT,input.limit > size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterThan,"(input.limit, size(return.data[..]))",pm.expect(input_limit).to.be.greaterThan(return_data_size_array),get+v1_radar_value_list_items,1.0,,,,Represents an invariant of > between two long scalars. Prints as x > y.,data,StripeClone API
/v1/radar/value_list_items&GetRadarValueListItems&200():::EXIT,return.object is a substring of return.url,daikon.inv.binary.twoString.StdString$SubString,"(return.object, return.url)",pm.expect(return_url.includes(return_object)).to.be.true,get+v1_radar_value_list_items,,1.0,,,Represents the substring invariant between two String scalars. Prints as x is a substring of y.,object,StripeClone API
/v1/radar/value_list_items&PostRadarValueListItems&200():::EXIT,"return.object == ""list""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""list""].includes(return_object)).to.be.true",get+v1_radar_value_list_items,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",object,StripeClone API
/v1/radar/value_list_items&PostRadarValueListItems&200():::EXIT,LENGTH(return.object)==4,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(4),get+v1_radar_value_list_items,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,object,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,input.active == return.active,daikon.inv.binary.twoScalar.IntEqual,"(input.active, return.active)",pm.expect(input_active).to.eql(return_active),get+v1_tax_rates,1.0,,,,Represents an invariant of == between two long scalars. Prints as x == y.,data.active,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,input.inclusive == return.inclusive,daikon.inv.binary.twoScalar.IntEqual,"(input.inclusive, return.inclusive)",pm.expect(input_inclusive).to.eql(return_inclusive),get+v1_tax_rates,1.0,,,,Represents an invariant of == between two long scalars. Prints as x == y.,data.inclusive,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,return.effective_percentage == return.percentage,daikon.inv.binary.twoScalar.FloatEqual,"(return.effective_percentage, return.percentage)",pm.expect(return_effective_percentage).to.eql(return_percentage),get+v1_tax_rates,,1.0,,,,data.effective_percentage,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,LENGTH(return.country)==2,daikon.inv.unary.string.FixedLengthString,(return.country),pm.expect(return_country).to.have.length(2),get+v1_tax_rates,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.country,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,return.effective_percentage >= 1.0,daikon.inv.unary.scalar.LowerBoundFloat,(return.effective_percentage),pm.expect(return_effective_percentage).to.be.at.least(1.0),get+v1_tax_rates,,1.0,,,"Represents the invariant x >= c, where c is a constant and x is a double scalar.",data.effective_percentage,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,LENGTH(return.id)==28,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(28),get+v1_tax_rates,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.id,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,return.livemode == false,daikon.inv.unary.scalar.OneOfScalar,(return.livemode),pm.expect(return_livemode).to.eql(false),get+v1_tax_rates,,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.livemode,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,"return.object == ""tax_rate""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""tax_rate""].includes(return_object)).to.be.true",get+v1_tax_rates,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.object,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,LENGTH(return.object)==8,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(8),get+v1_tax_rates,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.object,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,"return.state one of { ""CA"", ""GU"", ""TA"" }",daikon.inv.unary.string.OneOfString,(return.state),"pm.expect([""CA"", ""GU"", ""TA""].includes(return_state)).to.be.true",get+v1_tax_rates,,1.0,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.state,StripeClone API
/v1/tax_rates&GetTaxRates&200&data():::EXIT,LENGTH(return.state)==2,daikon.inv.unary.string.FixedLengthString,(return.state),pm.expect(return_state).to.have.length(2),get+v1_tax_rates,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.state,StripeClone API
/v1/tax_rates&GetTaxRates&200():::EXIT,"return.object == ""list""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""list""].includes(return_object)).to.be.true",get+v1_tax_rates,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",object,StripeClone API
/v1/tax_rates&GetTaxRates&200():::EXIT,LENGTH(return.object)==4,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(4),get+v1_tax_rates,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,object,StripeClone API
/v1/tax_rates&GetTaxRates&200():::EXIT,"return.url == ""/v1/tax_rates""",daikon.inv.unary.string.OneOfString,(return.url),"pm.expect([""/v1/tax_rates""].includes(return_url)).to.be.true",get+v1_tax_rates,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",url,StripeClone API
/v1/tax_rates&GetTaxRates&200():::EXIT,LENGTH(return.url)==13,daikon.inv.unary.string.FixedLengthString,(return.url),pm.expect(return_url).to.have.length(13),get+v1_tax_rates,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,url,StripeClone API
/v1/tax_rates&GetTaxRates&200():::EXIT,input.limit >= size(return.data[]),daikon.inv.binary.twoScalar.IntGreaterEqual,"(input.limit, size(return.data[..]))",pm.expect(input_limit).to.be.at.least(return_data_size_array),get+v1_tax_rates,1.0,,,,Represents an invariant of >= between two long scalars. Prints as x >= y.,data,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200&data():::EXIT,LENGTH(return.id)==30,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(30),get+v1_test_helpers_test_clocks,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.id,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200&data():::EXIT,return.livemode == false,daikon.inv.unary.scalar.OneOfScalar,(return.livemode),pm.expect(return_livemode).to.eql(false),get+v1_test_helpers_test_clocks,,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.livemode,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200&data():::EXIT,"return.object == ""test_helpers.test_clock""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""test_helpers.test_clock""].includes(return_object)).to.be.true",get+v1_test_helpers_test_clocks,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.object,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200&data():::EXIT,LENGTH(return.object)==23,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(23),get+v1_test_helpers_test_clocks,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.object,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200&data():::EXIT,"return.status == ""ready""",daikon.inv.unary.string.OneOfString,(return.status),"pm.expect([""ready""].includes(return_status)).to.be.true",get+v1_test_helpers_test_clocks,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.status,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200&data():::EXIT,LENGTH(return.status)==5,daikon.inv.unary.string.FixedLengthString,(return.status),pm.expect(return_status).to.have.length(5),get+v1_test_helpers_test_clocks,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.status,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200():::EXIT,input.limit == size(return.data[]),daikon.inv.binary.twoScalar.IntEqual,"(input.limit, size(return.data[..]))",pm.expect(input_limit).to.eql(return_data_size_array),get+v1_test_helpers_test_clocks,,1.0,,,Represents an invariant of == between two long scalars. Prints as x == y.,data,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200():::EXIT,return.has_more == true,daikon.inv.unary.scalar.OneOfScalar,(return.has_more),pm.expect(return_has_more).to.eql(true),get+v1_test_helpers_test_clocks,,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",has_more,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200():::EXIT,"return.object == ""list""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""list""].includes(return_object)).to.be.true",get+v1_test_helpers_test_clocks,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",object,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200():::EXIT,LENGTH(return.object)==4,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(4),get+v1_test_helpers_test_clocks,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,object,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200():::EXIT,"return.url == ""/v1/test_helpers/test_clocks""",daikon.inv.unary.string.OneOfString,(return.url),"pm.expect([""/v1/test_helpers/test_clocks""].includes(return_url)).to.be.true",get+v1_test_helpers_test_clocks,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",url,StripeClone API
/v1/test_helpers/test_clocks&GetTestHelpersTestClocks&200():::EXIT,LENGTH(return.url)==28,daikon.inv.unary.string.FixedLengthString,(return.url),pm.expect(return_url).to.have.length(28),get+v1_test_helpers_test_clocks,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,url,StripeClone API
/v1/webhook_endpoints&GetWebhookEndpoints&200&data():::EXIT,"return.api_version one of { ""2013-12-03"", ""2015-07-28"", ""2018-09-24"" }",daikon.inv.unary.string.OneOfString,(return.api_version),"pm.expect([""2013-12-03"", ""2015-07-28"", ""2018-09-24""].includes(return_api_version)).to.be.true",get+v1_webhook_endpoints,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.api_version,StripeClone API
/v1/webhook_endpoints&GetWebhookEndpoints&200&data():::EXIT,return.api_version is a Date. Format: YYYY/MM/DD,daikon.inv.unary.string.dates.IsDateYYYYMMDD,(return.api_version),pm.expect(return_api_version).to.match(/^(?:1\d{3}|20[01234][0-9]|2050|9999)[-/.](?:0[1-9]|1[012])[-/.](?:0[1-9]|[12][0-9]|3[01])$/),get+v1_webhook_endpoints,1.0,,,,"Indicates that the value of a string variable is always a date following the format YYYY/MM/DD or YYYY-MM-DD (the separator can be ""/"" or ""-""). Represented as x is a Date. Format YYYY/MM/DD.",data.api_version,StripeClone API
/v1/webhook_endpoints&GetWebhookEndpoints&200&data():::EXIT,LENGTH(return.id)==27,daikon.inv.unary.string.FixedLengthString,(return.id),pm.expect(return_id).to.have.length(27),get+v1_webhook_endpoints,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.id,StripeClone API
/v1/webhook_endpoints&GetWebhookEndpoints&200&data():::EXIT,return.livemode == false,daikon.inv.unary.scalar.OneOfScalar,(return.livemode),pm.expect(return_livemode).to.eql(false),get+v1_webhook_endpoints,,1.0,,,"Represents long variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.livemode,StripeClone API
/v1/webhook_endpoints&GetWebhookEndpoints&200&data():::EXIT,"return.object == ""webhook_endpoint""",daikon.inv.unary.string.OneOfString,(return.object),"pm.expect([""webhook_endpoint""].includes(return_object)).to.be.true",get+v1_webhook_endpoints,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.object,StripeClone API
/v1/webhook_endpoints&GetWebhookEndpoints&200&data():::EXIT,LENGTH(return.object)==16,daikon.inv.unary.string.FixedLengthString,(return.object),pm.expect(return_object).to.have.length(16),get+v1_webhook_endpoints,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.object,StripeClone API
/v1/webhook_endpoints&GetWebhookEndpoints&200&data():::EXIT,"return.status == ""enabled""",daikon.inv.unary.string.OneOfString,(return.status),"pm.expect([""enabled""].includes(return_status)).to.be.true",get+v1_webhook_endpoints,1.0,,,,"Represents String variables that take on only a few distinct values. Prints as either x == c (when there is only one value) or as x one of {c1, c2, c3} (when there are multiple values).",data.status,StripeClone API
/v1/webhook_endpoints&GetWebhookEndpoints&200&data():::EXIT,LENGTH(return.status)==7,daikon.inv.unary.string.FixedLengthString,(return.status),pm.expect(return_status).to.have.length(7),get+v1_webhook_endpoints,1.0,,,,Indicates that the value of a string variable always has a fixed length n. Represented as LENGTH(x)==n.,data.status,StripeClone API
